,flag,program,value
0,-Xf,If-else-Structure-Prog,0.0
1,-fselective-scheduling2,If-else-Structure-Prog,1.0392653568704238
2,-fgnat-encodings=minimal,If-else-Structure-Prog,0.0
3,-fsplit-paths,If-else-Structure-Prog,0.0
4,-mfma,If-else-Structure-Prog,0.9747278182718248
5,-fdump-internal-locations,If-else-Structure-Prog,0.0
6,--include,If-else-Structure-Prog,0.0
7,-mlzcnt,If-else-Structure-Prog,1.2007321272895244
8,-mxsaveopt,If-else-Structure-Prog,1.1339198676201945
9,-ftree-pta,If-else-Structure-Prog,1.144000733900674
10,-maes,If-else-Structure-Prog,1.1611438215800736
11,-mred-zone,If-else-Structure-Prog,0.9803797970411754
12,-fsplit-loops,If-else-Structure-Prog,0.0
13,-ftoplevel-reorder,If-else-Structure-Prog,1.1642632147798624
14,-fbranch-probabilities,If-else-Structure-Prog,1.139809720179641
15,-fcx-limited-range,If-else-Structure-Prog,1.1539593391083682
16,-gcolumn-info,If-else-Structure-Prog,0.0
17,-mlong-double-128,If-else-Structure-Prog,0.0
18,-fzero-initialized-in-bss,If-else-Structure-Prog,1.152951073647737
19,-fstack-check=specific,If-else-Structure-Prog,1.1416475664904695
20,-fira-loop-pressure,If-else-Structure-Prog,1.0157460785234584
21,-fssa-phiopt,If-else-Structure-Prog,0.0
22,-mfentry,If-else-Structure-Prog,1.151599557067494
23,-m16,If-else-Structure-Prog,0.0
24,-fasan-shadow-offset=1,If-else-Structure-Prog,0.0
25,-mms-bitfields,If-else-Structure-Prog,1.1657997486836211
26,-mintel-syntax,If-else-Structure-Prog,1.1680722474722331
27,-finit-logical=false,If-else-Structure-Prog,1.146708352801222
28,-fschedule-fusion,If-else-Structure-Prog,0.0
29,-ftree-slsr,If-else-Structure-Prog,1.1355906062182202
30,-fpack-struct=1,If-else-Structure-Prog,1.1347918333617537
31,--dumpbase,If-else-Structure-Prog,0.0
32,-mavx512vbmi,If-else-Structure-Prog,0.0
33,-ftree-dse,If-else-Structure-Prog,1.1620201307913802
34,-fstack-reuse=named_vars,If-else-Structure-Prog,1.1395676227483782
35,-fsched-spec-load-dangerous,If-else-Structure-Prog,1.1520327713586846
36,-mno-sse4,If-else-Structure-Prog,1.1459147383339736
37,-ftree-fre,If-else-Structure-Prog,1.15953987324064
38,-fsched-spec-insn-heuristic,If-else-Structure-Prog,1.144698921218787
39,-finstrument-functions,If-else-Structure-Prog,1.1432920659804102
40,-gstabs+,If-else-Structure-Prog,1.1626281825687663
41,-fgcse-las,If-else-Structure-Prog,1.158664389868247
42,-fvisibility=private,If-else-Structure-Prog,0.0
